home,away,home shots,away shots,home goals,away goals
TBL,COL,31,42,3,2
FLA,EDM,37,34,2,3
STL,TOR,33,27,3,0
DAL,WSH,26,32,5,4
MIN,ARI,33,26,3,1
LAK,ANA,28,31,2,3
SJS,CGY,22,23,3,4
PIT,NYR,34,31,2,5
CHI,DAL,41,34,3,6
WPG,ARI,30,31,4,3
DET,BUF,26,15,6,4
NYI,PHI,41,29,7,4
TOR,CAR,35,32,1,4
FLA,VAN,24,23,1,2
STL,COL,30,18,3,1
MIN,CBJ,26,23,1,3
LAK,CGY,34,23,1,2
SJS,NJD,36,34,2,5
NYR,OTT,35,35,3,2
PHI,PIT,40,35,3,2
WSH,EDM,24,31,4,5
MTL,NSH,27,37,2,1
DET,MIN,24,38,5,4
TBL,VAN,26,28,4,1
CHI,ARI,51,36,6,1
DAL,BOS,37,27,1,3
OTT,TOR,26,40,4,3
PIT,CHI,35,26,2,3
WPG,CBJ,29,29,4,0
COL,BOS,36,24,3,2
ANA,CGY,27,33,6,3
SJS,LAK,25,28,4,2
NYI,NYR,38,41,4,1
PHI,ARI,42,27,4,3
PIT,WPG,30,22,5,3
CAR,TBL,22,30,4,2
CBJ,WSH,30,28,4,3
MTL,DAL,26,42,3,2
FLA,DET,41,27,4,5
NSH,COL,39,24,4,3
CGY,BUF,31,18,4,1
EDM,MIN,24,29,1,2
VAN,ANA,17,24,0,4
NJD,TOR,23,30,2,1
WSH,PIT,36,27,4,0
LAK,CHI,27,29,4,3
NYI,BOS,45,33,2,5
NYR,MTL,24,26,0,1
PHI,WPG,32,38,5,2
TOR,ARI,25,45,1,3
OTT,DAL,28,41,3,6
TBL,DET,32,28,5,1
FLA,CBJ,31,33,3,2
STL,NSH,35,37,5,4
CGY,MIN,30,32,0,1
EDM,BUF,34,20,3,2
SJS,ANA,33,28,6,3
NJD,PIT,14,43,1,2
CAR,STL,28,32,2,3
COL,NSH,28,23,3,0
VAN,BUF,38,22,5,2
ANA,CHI,22,33,1,4
MTL,WSH,30,36,1,0
DET,NYI,19,23,4,1
OTT,ARI,31,37,7,2
BOS,LAK,33,31,3,1
NJD,FLA,14,27,3,1
NYR,CAR,37,32,4,1
PHI,TOR,18,30,1,0
WPG,DAL,40,32,2,5
TBL,CBJ,34,35,3,1
CGY,EDM,33,19,4,2
SJS,CHI,20,31,2,0
MTL,ARI,20,32,2,3
WSH,STL,36,40,3,4
PIT,NSH,21,24,0,4
VAN,MIN,37,20,2,4
NYR,FLA,38,36,6,3
CGY,WPG,28,19,5,2
SJS,EDM,37,40,4,5
NJD,OTT,19,20,2,1
NYI,FLA,34,30,2,4
WSH,LAK,27,27,4,0
CBJ,ARI,31,29,1,4
MTL,BUF,34,18,2,3
STL,TBL,18,31,2,1
NSH,TOR,32,28,4,3
MIN,CHI,43,24,3,0
DAL,COL,32,24,2,3
VAN,WPG,33,28,3,2
ANA,CAR,31,32,5,4
NYR,BOS,25,20,3,2
EDM,PIT,22,26,0,2
CGY,SJS,23,29,3,1
BUF,STL,23,30,0,3
PHI,NYI,18,30,2,3
OTT,WSH,26,29,1,2
FLA,LAK,20,31,3,2
NSH,ANA,46,26,2,5
DAL,TBL,36,29,3,5
COL,DET,28,29,0,3
ARI,CAR,29,41,1,2
VAN,SJS,34,38,1,5
NJD,TOR,17,34,4,1
WSH,ANA,34,25,3,2
CBJ,STL,33,33,7,1
WPG,CHI,21,22,1,2
CGY,PIT,21,30,0,4
NSH,NYR,23,32,3,2
TBL,LAK,28,29,2,4
BOS,NYI,36,40,2,1
BUF,DAL,24,40,3,2
TOR,EDM,28,32,5,1
MTL,NJD,44,23,6,2
OTT,CBJ,35,33,1,4
MIN,COL,29,18,1,0
ARI,DET,23,26,1,3
VAN,PIT,27,31,5,0
SJS,CAR,27,30,4,5
STL,CHI,27,28,2,4
FLA,NSH,36,25,2,3
WSH,PHI,14,25,1,3
BUF,NYI,10,31,2,3
TBL,ANA,23,28,5,3
NYR,DAL,36,25,2,3
WPG,COL,29,28,5,3
BOS,MTL,35,34,1,3
NJD,EDM,14,24,1,2
CBJ,LAK,26,44,3,4
MIN,VAN,32,25,5,3
CHI,ARI,38,29,2,3
SJS,CGY,34,27,1,4
BOS,DAL,44,32,3,5
BUF,OTT,36,26,1,2
NYI,EDM,28,36,3,2
TOR,NYR,34,39,4,5
MTL,PHI,41,24,2,1
FLA,ANA,26,33,6,2
STL,ARI,36,26,2,1
NSH,TBL,29,32,3,2
WPG,MIN,34,30,2,1
PIT,DET,21,24,4,1
CHI,VAN,41,36,4,5
SJS,WSH,30,33,4,5
NYI,TOR,41,34,3,2
CAR,ANA,36,17,1,2
MTL,EDM,26,38,3,4
OTT,PIT,33,29,4,5
TBL,STL,29,44,3,6
NSH,WPG,26,33,3,1
MIN,FLA,23,27,2,1
COL,NYR,29,31,3,6
LAK,CGY,45,18,5,3
CBJ,PHI,33,25,4,3
CHI,NJD,35,26,3,1
DAL,FLA,28,37,2,0
ARI,SJS,36,26,2,4
VAN,BOS,25,23,5,2
OTT,EDM,42,27,7,2
MTL,TOR,32,29,2,1
DET,WPG,29,38,4,5
NYI,CBJ,46,37,6,3
NSH,NJD,38,22,3,1
MIN,CAR,24,27,6,3
ARI,NYR,35,32,1,5
COL,DAL,30,25,4,1
CGY,VAN,34,30,3,2
LAK,WSH,30,28,3,1
CHI,PIT,32,37,2,1
FLA,STL,41,33,1,2
BUF,PHI,22,30,1,2
ANA,WSH,33,28,3,5
SJS,TBL,35,33,2,5
NYI,NYR,43,42,5,6
OTT,CAR,32,36,3,6
DET,MTL,25,29,0,2
WPG,EDM,46,22,5,4
COL,ARI,34,17,5,2
CGY,BOS,27,27,4,3
VAN,MIN,29,22,3,2
LAK,TBL,28,23,3,2
NJD,BUF,35,25,2,1
PHI,CBJ,44,25,2,5
PIT,WSH,33,33,1,3
CAR,NYI,38,30,1,4
TOR,FLA,29,17,2,3
STL,DAL,28,22,1,4
NSH,SJS,37,43,5,1
OTT,MTL,39,44,4,2
CHI,DET,34,28,2,3
CGY,MIN,37,29,2,3
COL,LAK,43,26,1,4
EDM,BOS,30,41,4,3
ANA,TBL,25,32,1,4
NYI,NSH,40,32,5,2
NYR,VAN,34,28,4,5
PHI,BUF,38,32,2,3
PIT,CBJ,30,30,1,2
WSH,WPG,33,20,5,1
MTL,FLA,39,21,2,3
DAL,SJS,39,28,2,5
BUF,OTT,33,33,5,4
NJD,VAN,27,23,4,2
CAR,TOR,26,24,2,1
STL,BOS,15,27,5,1
CHI,COL,28,30,1,4
CGY,ANA,28,38,3,6
EDM,MIN,15,29,0,4
WSH,NYI,27,32,3,2
